title;MAL_id;type;release-season;release-year;crazy-gump score;friends_mean_score;nb_who_watched_it;friend_who_watched_it
Kamisama ni Natta Hi;41930;TV;fall;2020;;4,333333333;3;"DrNock;Yokanime;Zccdcccc;"
Ore, Twintail ni Narimasu.;24705;TV;fall;2014;6;4,25;4;"Djidji;DrNock;Zccdcccc;SaberXTohsaka;"
Mahou Sensou;19769;TV;winter;2014;5;4,25;4;"Djidji;DrNock;Steins02;SaberXTohsaka;"
Cyclops Shoujo Saipuu;17397;ONA;winter;2013;;4;1;"SaberXTohsaka;"
Ryuudouji Shimon no Inbou;36122;OVA;fall;2017;;4;1;"leejongki;"
Pocari Sweat x Fuji Rock Festival ’17;39694;ONA;summer;2017;;4;1;"leejongki;"
Senran Kagura Specials;17345;Special;winter;2013;;4;1;"DrNock;"
Enoshimans;35890;ONA;summer;2017;;4;1;"leejongki;"
Hajimete no Gal: Hajimete no Bunkasai;35237;OVA;fall;2017;;4;1;"Djidji;"
Tamako Market Specials;17879;Special;winter;2013;;4;2;"DrNock;leejongki;"
Break Go!Ga!;36954;ONA;fall;2017;;4;1;"leejongki;"
Sou: Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?-hen;36162;Special;summer;2017;;4;1;"leejongki;"
Iryou Keiei Consultant;37543;ONA;fall;2017;;4;1;"leejongki;"
Wooser no Sono Higurashi: Ken to Pants to Wooser to;16738;Special;winter;2013;;4;1;"DrNock;"
Free!: Take Your Marks: Character Butai Aisatsu;37860;Movie;fall;2017;;4;1;"leejongki;"
Sword Art Online Movie: Ordinal Scale - Sword Art Offline;36439;Special;summer;2017;;4;1;"leejongki;"
Watashitachi, Luck Logic-bu!;32084;TV;winter;2016;;4;1;"DrNock;"
Boku wa Robot-goshi no Kimi ni Koi wo Suru;36542;Special;fall;2017;;4;1;"leejongki;"
Blue Archive;48824;ONA;winter;2021;;4;1;"leejongki;"
Shouwa Monogatari;10014;TV;spring;2011;;4;1;"DrNock;"
Succubu-ist Story The Animation;36137;OVA;fall;2017;;4;1;"leejongki;"
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari;31790;TV;winter;2016;;4;1;"Djidji;"
Z/X: Ignition;20533;TV;winter;2014;;4;1;"Djidji;"
Taisei Kensetsu: Singapore;38065;Special;spring;2018;;4;1;"leejongki;"
Zutto Mae kara Suki deshita.: Kokuhaku Jikkou Iinkai - Kinyoubi no Ohayou;36305;Special;fall;2016;;4;2;"DrNock;leejongki;"
Shokugeki no Souma: San no Sara - Kyokuseiryou no Erina;36962;OVA;spring;2018;;4;1;"leejongki;"
Naniiro no Nani;37881;ONA;spring;2018;;4;1;"leejongki;"
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA;32801;OVA;fall;2016;;4;1;"DrNock;"
3-gatsu no Lion meets Bump of Chicken;28789;Music;fall;2014;;4;2;"DrNock;leejongki;"
Mirai Nikki (TV): Ura Mirai Nikki;12503;Special;winter;2012;;4;2;"DrNock;leejongki;"
Akuma no Memumemu-chan;36875;ONA;winter;2018;;4;2;"Djidji;leejongki;"
Osomatsu-san 2nd Season;35067;TV;fall;2017;;4;2;"Djidji;Djidji;"
Kuroko no Basket Movie 2: Winter Cup - Namida no Saki e;32870;Movie;fall;2016;;4;1;"leejongki;"
Eyedrops Special Episode;37279;ONA;winter;2018;;4;1;"leejongki;"
Ekimemo!;36973;ONA;winter;2018;;4;1;"leejongki;"
Sword Art Online Fatal Bullet: The Third Episode - Pilot-ban;37278;ONA;winter;2018;;4;1;"leejongki;"
Shingeki no Kyojin Season 2 Movie: Kakusei no Houkou;36702;Movie;winter;2018;;4;1;"leejongki;"
Diabolik Lovers;17513;TV;fall;2013;;4;2;"Yokanime;Steins02;"
Shiki Specials;10083;Special;spring;2011;;4;1;"DrNock;"
Ninja Batman x Poputepipikku Kindan no Collab CM;37622;Special;winter;2018;;4;1;"leejongki;"
5-fun de Wakaru: Violet Evergarden;49145;ONA;winter;2018;;4;1;"leejongki;"
Sekai de Ichiban Tsuyoku Naritai!;11763;TV;fall;2013;;4;1;"Yokanime;"
Pikotarou no Lullaby Lullaby;36520;ONA;summer;2017;;4;1;"leejongki;"
The Lamp Man;39335;ONA;fall;2017;;4;1;"leejongki;"
Kumo no Mori no Marcus;41293;ONA;fall;2017;;4;1;"leejongki;"
"""Tokyo""";38748;Movie;fall;2017;;4;1;"leejongki;"
Ulysses: Jehanne Darc to Renkin no Kishi;36510;TV;fall;2018;;4;1;"Djidji;"
Hataraku Saibou;35840;ONA;summer;2017;;4;1;"leejongki;"
Bishoujo Senshi Sailor Moon Crystal;14751;ONA;summer;2014;;4;2;"Yokanime;Yokanime;"
Free! Movie 1: Timeless Medley - Kizuna;33845;Movie;spring;2017;;4;1;"leejongki;"
Aoki Hagane no Arpeggio: Ars Nova Movie 2 - Cadenza;24921;Movie;fall;2015;;4;1;"DrNock;"
Sekiranun Graffiti;11487;Music;summer;2011;;4;2;"DrNock;leejongki;"
Maruman Loose Leaf;38772;Special;winter;2017;;4;1;"leejongki;"
Teekyuu 8 Specials;34614;Special;winter;2017;;4;1;"leejongki;"
ēlDLIVE;32878;TV;winter;2017;;4;1;"Djidji;"
Busou Shinki;14237;TV;fall;2012;;4;1;"sazabiron;"
Sakura Internet;34818;ONA;winter;2017;;4;1;"leejongki;"
Ringing City;40475;Movie;winter;2017;;4;1;"leejongki;"
Toaru Kagaku no Railgun: Entenka no Satsuei Model mo Raku Ja Arimasen wa ne.;9063;OVA;summer;2010;;4;2;"Djidji;DrNock;"
Grisaia no Rakuen Specials;31368;Special;summer;2015;;4;1;"DrNock;"
Grisaia no Meikyuu: Caprice no Mayu 0 - Takizono Basketball Club no Nama Cream Party!;31324;Special;summer;2015;;4;1;"DrNock;"
Kuroko no Basket: Oshaberi Shiyou ka;34784;Special;winter;2017;;4;1;"leejongki;"
Okusama ga Seitokaichou!+!;32603;TV;fall;2016;;4;2;"Djidji;DrNock;"
Bokura no Live Kimi to no Life;9907;Music;summer;2010;;4;1;"DrNock;"
Uta no☆Prince-sama♪ Maji Love 1000%;10321;TV;summer;2011;;4;1;"DrNock;"
Robot Girls Z Plus;29035;ONA;spring;2015;;4;3;"DrNock;DrNock;DrNock;"
Persona 3 the Movie 3: Falling Down;24543;Movie;spring;2015;;4;1;"DrNock;"
Boku no Hero Academia 2nd Season: Hero Note;35262;Special;winter;2017;;4;1;"leejongki;"
Elsword: Ain-ui Gieog Animation;34766;ONA;fall;2016;;4;1;"leejongki;"
Aitata Bocchi;34631;Special;fall;2016;;4;1;"leejongki;"
Inga Nikki;12411;ONA;fall;2011;;4;1;"DrNock;"
Xianjing Chuanshuo RO: Shouhu Yongheng de Ai;34862;ONA;fall;2016;;4;1;"leejongki;"
Ashita Sekai ga Owaru toshitemo;38464;Movie;winter;2019;;4;2;"DrNock;leejongki;"
Ryuugajou Nanana no Maizoukin;13517;Special;fall;2011;;4;1;"DrNock;"
Kuroko no Basket Movie 3: Winter Cup - Tobira no Mukou;32871;Movie;fall;2016;;4;1;"leejongki;"
Under the Dog;27387;OVA;summer;2016;;4;2;"Yokanime;Zccdcccc;"
Free! Movie 1: Timeless Medley - Kizuna - Character Butai Aisatsu;37858;Movie;spring;2017;;4;1;"leejongki;"
One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken;36215;Special;summer;2017;;4;1;"leejongki;"
Hiyoko no Basket Movie: Last Game 0401;35327;ONA;spring;2017;;4;1;"leejongki;"
Oide yo! Mizuryuu Kei Land;35581;OVA;summer;2017;;4;1;"leejongki;"
No Game No Life: Zero - Manner Movie;37402;Movie;summer;2017;;4;1;"leejongki;"
New My Tear CL Series;36223;ONA;summer;2017;;4;1;"leejongki;"
Arcana Famiglia;12967;TV;summer;2012;;4;3;"Djidji;Steins02;sazabiron;"
Himitsu Spark;29778;Music;fall;2014;;4;2;"DrNock;leejongki;"
Tomie;36992;Special;spring;2018;;4;1;"leejongki;"
Free! Movie 2: Timeless Medley - Yakusoku: Character Butai Aisatsu;37859;Movie;summer;2017;;4;1;"leejongki;"
Free! Movie 2: Timeless Medley - Yakusoku;35191;Movie;summer;2017;;4;1;"leejongki;"
Shinmai Maou no Testament Burst: Toujou Basara no Shigoku Heiwa na Nichijou;30365;OVA;winter;2016;;4;1;"SaberXTohsaka;"
DRAMAtical Murder;23333;TV;summer;2014;;4;2;"Yokanime;sazabiron;"
Bakuon!!;30795;TV;spring;2016;;4;1;"Djidji;"
Gambo;17679;Movie;summer;2013;;4;1;"DrNock;"
Yonhyaku-nijuu Renpai Girl;17871;ONA;winter;2013;;4;2;"DrNock;leejongki;"
Anime de Wakaru Shinryounaika;27911;ONA;winter;2015;;4;2;"DrNock;DrNock;"
Aoki Hagane no Arpeggio: Ars Nova Movie 1 - DC;24919;Movie;winter;2015;;4;1;"DrNock;"
1/100 Train Station;36747;ONA;summer;2017;;4;1;"leejongki;"
Asobi ni Iku yo!;6166;TV;summer;2010;;4;1;"Djidji;"
Boku wa Shitteru yo.;36580;ONA;spring;2017;;4;1;"leejongki;"
Yarimoku Beach ni Shuugakuryokou de!! The Animation;34963;OVA;spring;2017;;4;1;"leejongki;"
Bikini Warriors;30782;TV;summer;2015;;4;1;"Yokanime;"
Sono Me ga Mitsumeru Mono;36239;ONA;spring;2017;;4;1;"leejongki;"
Ojisan to Marshmallow: Hige-san to Yume Mashmallow;33201;Special;spring;2016;;4;2;"Djidji;leejongki;"
Kami nomi zo Shiru Sekai: Natsu-iro Surprise;11583;Music;summer;2011;;4;1;"DrNock;"
Shingeki no Kyotou;35122;Special;spring;2017;;4;1;"leejongki;"
Seiso de Majime na Kanojo ga, Saikyou Yaricir ni Kanyuu Saretara...? The Animation;34821;OVA;spring;2017;;4;1;"leejongki;"
Another: The Other - Inga;11701;OVA;spring;2012;;4;2;"DrNock;leejongki;"
He Wei Dao x Re:Cong Ling Kaishi de Yi Shijie Shenghuo;38389;ONA;summer;2018;;4;1;"leejongki;"
Genei wo Kakeru Taiyou: Fumikomenai Kokoro;20187;Special;fall;2013;;4;1;"DrNock;"
Wild Cleaner;42800;Special;fall;2019;;4;1;"leejongki;"
Yi Guan Xing Shen;43020;Special;spring;2020;;4;1;"leejongki;"
Miss Monochrome The Animation: Soccer-hen;24713;ONA;spring;2014;;4;1;"DrNock;"
Hetalia World★Stars Specials;48627;Special;summer;2021;;4;1;"leejongki;"
Minegishi-san wa Ootsu-kun ni Tabesasetai;42044;ONA;spring;2020;;4;1;"leejongki;"
Condom Battler Gorou;42220;ONA;spring;2020;;4;1;"leejongki;"
BIGOTRE Capture Mission;42168;ONA;spring;2020;;4;1;"leejongki;"
Oneechan ga Kita: Hajimete no… Kitaa!;23427;Special;winter;2014;;4;3;"DrNock;leejongki;Yokanime;"
Ichiban Chikakute Tooi Hoshi;48177;ONA;summer;2021;;4;1;"leejongki;"
Kyoto Animation: Meiji-hen;49395;Special;summer;2021;;4;1;"leejongki;"
Comet Lucifer;31318;TV;fall;2015;;4;2;"Djidji;Yokanime;"
Weiß Survive R;7463;TV;winter;2010;;4;1;"Djidji;"
Fushigi na Somera-chan;30746;TV;fall;2015;;4;2;"Djidji;DrNock;"
Sword Art Online: Alicization - War of Underworld Reflection;40489;Special;fall;2019;;4;1;"leejongki;"
Yukimi-ka no Nichijou wa Honwari de Shimeru;37825;ONA;spring;2018;;4;1;"leejongki;"
Condom Battler Gorou: Revive;50503;ONA;fall;2021;;4;1;"leejongki;"
One Piece: Luffy Senpai Ouen Kikaku! Barto no Himitsu no Heya!;50696;Special;fall;2021;;4;1;"leejongki;"
Ano Hi no Kokoro wo Toraete;40517;ONA;fall;2019;;4;1;"leejongki;"
One Punch Man 2nd Season Specials;39705;Special;fall;2019;;4;2;"leejongki;leejongki;"
Pocari Sweat Run Carnival 2019;43417;Special;summer;2019;;4;1;"leejongki;"
JMAF23th;42845;ONA;summer;2019;;4;1;"leejongki;"
Bokutachi no Kidzuki-hen;40793;ONA;summer;2019;;4;1;"leejongki;"
Senkou no Night Raid: Aruku Hako;10201;Special;fall;2010;;4;1;"DrNock;"
Petit Seka;49939;ONA;winter;2022;;4;1;"leejongki;"
Snow Halation;9930;Music;fall;2010;;4;1;"DrNock;"
Stars*Collection!;50934;ONA;winter;2022;;4;1;"leejongki;"
Look Plus One Piece Special Movie;40181;ONA;summer;2019;;4;1;"leejongki;"
Shiroi Suna no Aquatope Mini;49410;ONA;summer;2021;;4;1;"leejongki;"
Wasureta Furi wo Shite;42488;Movie;spring;2020;;4;1;"leejongki;"
Venus Project: Climax;30251;TV;summer;2015;;4;1;"Djidji;"
Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita;42855;ONA;summer;2020;;4;1;"leejongki;"
Eiyuuou, Bu wo Kiwameru Tame Tenseisu: Soshite, Sekai Saikyou no Minarai Kishi♀;43727;ONA;fall;2020;;4;1;"leejongki;"
Chinzei Hachirou Tametomo;44752;ONA;fall;2020;;4;1;"leejongki;"
Tell the Story to You;43712;Special;fall;2020;;4;1;"leejongki;"
Utopia;21103;Music;winter;2014;;4;2;"DrNock;leejongki;"
Dog Days Specials;17419;Special;summer;2012;;4;1;"DrNock;"
Kimetsu Gakuen: Valentine-hen;47398;ONA;winter;2021;;4;1;"leejongki;"
Saezuru Tori wa Habatakanai: Dont Stay Gold;41290;OVA;winter;2021;;4;1;"leejongki;"
Marudase Kintarou;40845;Movie;fall;2020;;4;1;"leejongki;"
Urvan;45518;ONA;winter;2021;;4;1;"leejongki;"
With All Our Hearts;45643;ONA;winter;2021;;4;1;"leejongki;"
Juunenbun no Watashi e;43711;ONA;fall;2020;;4;1;"leejongki;"
Bem;39221;TV;summer;2019;;4;1;"Zccdcccc;"
Hakumei no Tsubasa: Expansion - Hoshi no Matsuri;43568;ONA;fall;2020;;4;1;"leejongki;"
Dounika Naru Hibi;40747;Movie;fall;2020;;4;1;"leejongki;"
Ayanami Rei, Hajimete no Kuchibeni;43751;ONA;fall;2020;;4;1;"leejongki;"
Attack Zero x Evangelion;43745;ONA;fall;2020;;4;1;"leejongki;"
Houkago Midnighters;13935;Movie;summer;2012;;4;1;"DrNock;"
Inazuma Eleven;5231;TV;winter;2010;;4;5;"Steins02;Steins02;Steins02;Steins02;Steins02;"
23-ji no Saga Meshi Anime;47426;ONA;winter;2021;;4;1;"leejongki;"
Sword Art Online: Alicization - War of Underworld Recap;41341;Special;summer;2020;;4;1;"leejongki;"
Shichisei no Subaru;36316;TV;summer;2018;;4;1;"Djidji;"
Kuusen Madoushi Kouhosei no Kyoukan;25283;TV;summer;2015;;4;1;"Zccdcccc;"
Re:Zero kara Hajimeru Break Time 2nd Season;42364;Special;summer;2020;;4;1;"leejongki;"
Date A Live Movie: Mayuri Judgment;24655;Movie;summer;2015;;4;2;"Zccdcccc;SaberXTohsaka;"
Chuukan Kanriroku Tonegawa;37338;TV;summer;2018;;4;2;"Djidji;Djidji;"
Koukyoushihen Eureka Seven Hi-Evolution 1;35134;Movie;summer;2017;;4;1;"DrNock;"
Aratanari Fukaki Ao;15979;ONA;fall;2012;;4;1;"DrNock;"
Digimon Survive: Prologue Movie;40156;ONA;summer;2019;;4;1;"leejongki;"
A New Journey;39057;ONA;winter;2019;;4;1;"leejongki;"
Futsuu tte Nandarou?;38711;Special;fall;2018;;4;1;"leejongki;"
Recorder to Randoseru Mi☆ Special;24935;Special;fall;2013;;4;2;"DrNock;leejongki;"
Omae wa Mada Gunma wo Shiranai;37258;TV;spring;2018;;4;1;"Djidji;"
Rio: Rainbow Gate!;8241;TV;winter;2011;;4;1;"Yokanime;"
Seikon no Qwaser;6500;TV;winter;2010;;4;4;"Zccdcccc;Zccdcccc;SaberXTohsaka;SaberXTohsaka;"
Shingeki no Kyojin Season 3 Specials;39477;Special;fall;2018;;4;1;"leejongki;"
Magical☆Star Kanon 100%;17725;OVA;spring;2013;;4;2;"Djidji;DrNock;"
Saenai Heroine no Sodatekata ♭: Koi to Junjou no Service-kai;35338;Special;spring;2017;;4;1;"DrNock;"
Wooser no Sono Higurashi;15313;TV;fall;2012;;4;1;"DrNock;"
Fate/kaleid liner Prisma☆Illya 2wei! Specials;25011;Special;summer;2014;;4;1;"DrNock;"
All Alone With You;17901;Music;winter;2013;;4;1;"DrNock;"
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 1 - Tomodachi;34374;Movie;winter;2017;;4;1;"DrNock;"
One Room Second Season: Hanasaka Yui no Prologue;38061;Special;summer;2018;;4;1;"leejongki;"
Perfect Day;10445;Music;winter;2011;;4;2;"DrNock;leejongki;"
Nekopara: Koneko no Hi no Yakusoku;37983;ONA;summer;2018;;4;1;"leejongki;"
RErideD: Tokigoe no Derrida;35835;TV;fall;2018;;4;1;"Djidji;"
Queens Blade Rebellion vs. Hagure Yuusha no Aesthetica;14663;Special;spring;2012;;4;1;"Yokanime;"
Mahou Shoujo Lyrical Nanoha: Detonation;35984;Movie;fall;2018;;4;1;"DrNock;"
Tokyo Ghoul:re 2nd Season;37799;TV;fall;2018;;4;2;"Djidji;leejongki;"
Iya na Kao sare nagara Opantsu Misete Moraitai;37021;ONA;summer;2018;;4;1;"leejongki;"
Amemiya-san;49112;ONA;winter;2021;;4;1;"leejongki;"
Green Dakara x Mirai no Mirai;38028;ONA;summer;2018;;4;1;"leejongki;"
Choboraunyopomi Gekijou Ai Mai Mii;16169;TV;winter;2013;;4;1;"DrNock;"
Eiga Daisuki Pompo-san;38411;Special;summer;2018;;4;1;"leejongki;"
"""Calpis"" Hakkou Monogatari";38045;ONA;spring;2018;;4;1;"leejongki;"
Itsuka Aeru Kimi ni;38473;ONA;fall;2018;;4;1;"leejongki;"
Asobuild Concept Video;39498;ONA;winter;2019;;4;1;"leejongki;"
Another World;40295;ONA;summer;2019;;4;1;"leejongki;"
Bug;40016;ONA;winter;2019;;4;1;"leejongki;"
Tenki no Ko CMs;40034;Special;spring;2019;;4;1;"leejongki;"
Space Shower Man: Legacy for the Future;40015;Special;spring;2019;;4;1;"leejongki;"
Yu☆Gi☆Oh! Zexal;10015;TV;spring;2011;;4;6;"Steins02;Steins02;Steins02;Steins02;Steins02;Steins02;"
One Punch Man 2nd Season Commemorative Special;39652;Special;spring;2019;;4;1;"leejongki;"
Chuunibyou demo Koi ga Shitai! Ren Specials;23237;Special;winter;2014;;4;3;"DrNock;DrNock;DrNock;"
Nendo no Tatakai (2019);40282;ONA;spring;2019;;4;1;"leejongki;"
Line Novel;39734;ONA;spring;2019;;4;1;"leejongki;"
Kyochuu Rettou;38915;OVA;spring;2019;;4;1;"leejongki;"
Kagewani;30524;TV;fall;2015;7;4;1;"Djidji;"
Hiyokoi (2012);15895;Special;fall;2012;;4;1;"DrNock;"
"Essential Free &amp; Easy";39650;ONA;spring;2019;;4;1;"leejongki;"
Heroman Specials;9121;Special;summer;2010;;4;1;"DrNock;"
Cosmos Trailer;42317;ONA;spring;2019;;4;1;"leejongki;"
Nagareboshi Lens;13833;OVA;winter;2012;;4;1;"Steins02;"
Kiddy GiRL-AND;3349;TV;winter;2010;;4;1;"Djidji;"
Hi☆sCoool! SeHa Girls;23787;TV;fall;2014;;4;1;"Djidji;"
Its My Life;37286;OVA;winter;2019;;4;1;"leejongki;"
Enoshimans Spin-off: Kurage no Soudan;42262;Special;winter;2019;;4;1;"leejongki;"
Boku no Hero Academia the Movie: Futari no Hero Specials;38699;Special;winter;2019;;4;1;"leejongki;"
Aru Otoko no Ikikata;39027;ONA;winter;2019;;4;1;"leejongki;"
Hanayaka Nari, Waga Ichizoku: Kinetograph;14145;OVA;fall;2012;;4;1;"Steins02;"
Iron Man;6875;TV;fall;2010;;4;1;"Yokanime;"
Gaikotsu Shotenin Honda-san OVA;38527;OVA;winter;2019;;4;1;"leejongki;"
Dakara Boku wa, H ga Dekinai.: Mie Sugi! Mizugi Contest;14893;OVA;winter;2013;;4;1;"Steins02;"
Final Fantasy XV: Episode Ardyn - Prologue;38664;ONA;winter;2019;;4;1;"leejongki;"
Sol Levante;40597;ONA;spring;2020;;4;1;"leejongki;"
Yume ga Sameru made;35932;ONA;summer;2017;;4;1;"leejongki;"
Flying Witch Petit;32954;ONA;winter;2016;;4;2;"leejongki;leejongki;"
Hetalia: The Beautiful World Specials;17273;Special;spring;2013;;4;1;"leejongki;"
Gokiburi Hime;36278;ONA;fall;2015;;4;1;"leejongki;"
Wakaba*Girl: Onsen Tsukaritai;31909;Special;fall;2015;;4;1;"leejongki;"
The New A-Class.: Next Stage with YOU;32384;ONA;fall;2015;;4;1;"leejongki;"
Teekyuu 5 Specials;31668;Special;fall;2015;;4;1;"leejongki;"
Taimanin Asagi 2;31652;OVA;fall;2015;;4;1;"leejongki;"
Rinkan Biyaku Chuudoku: Nigeba Nashi! 1428-nin no Seito Zenin ni Sex Sareru Reijou Sayaka;31400;OVA;fall;2015;;4;1;"leejongki;"
R-15;10611;TV;summer;2011;;4;1;"Djidji;"
"Puzzle &amp; Dragons CM";31846;ONA;fall;2015;;4;2;"leejongki;leejongki;"
Owari no Seraph: The Beginning of the End;31756;Special;fall;2015;;4;1;"leejongki;"
Sei Yariman Gakuen Enkou Nikki The Animation;16472;OVA;winter;2013;;4;1;"leejongki;"
Tsun Tsun Maid wa Ero Ero Desu;15841;OVA;winter;2013;;4;1;"leejongki;"
Vassalord.;15933;OVA;winter;2013;;4;1;"leejongki;"
Ai to Shi;32150;Special;winter;2013;;4;1;"leejongki;"
Garden;17491;OVA;spring;2013;;4;1;"leejongki;"
"Ketsuekigata-kun! Featuring Yuri &amp; Nasuno";19297;Special;spring;2013;;4;1;"leejongki;"
Sukitte Ii na yo.: Mei and Marshmallow;17409;Special;fall;2012;;4;1;"leejongki;"
One Punch Man Specials;31772;Special;fall;2015;;4;3;"leejongki;leejongki;leejongki;"
One Piece: Adventure of Nebulandia;32051;Special;fall;2015;;4;1;"leejongki;"
Noblesse: Pamyeol-ui Sijak;32566;OVA;fall;2015;;4;1;"leejongki;"
Majuu Jouka Shoujo Utea;31885;OVA;fall;2015;;4;1;"leejongki;"
Origami of Landscape;34633;ONA;spring;2013;;4;1;"leejongki;"
Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue;32122;Special;fall;2015;;4;1;"leejongki;"
Code Geass: Hangyaku no Lelouch Picture Drama - Hajimari no Zenya;33155;Special;summer;2013;;4;1;"leejongki;"
Joshikousei no Koshitsuki;18691;OVA;summer;2013;;4;1;"leejongki;"
Colosseum no Senki: Another Story;31403;OVA;fall;2015;;4;2;"leejongki;leejongki;"
Chicchana Onaka;31740;OVA;fall;2015;;4;1;"leejongki;"
Lemon Home Animation Gekijou;30367;ONA;summer;2013;;4;1;"leejongki;"
Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki Desu ka?;38573;TV;summer;2019;;4;1;"Djidji;"
Shingeki no Kyojin: Ano Hi Kara;19285;Special;summer;2013;;4;1;"leejongki;"
Ane Yome Quartet;30614;OVA;fall;2015;;4;2;"leejongki;leejongki;"
Tsugou no Yoi Sexfriend?;15537;OVA;fall;2012;;4;1;"leejongki;"
Turnover;30358;ONA;winter;2015;;4;1;"leejongki;"
Waisetsu Missile The Animation;18959;OVA;summer;2013;;4;1;"leejongki;"
Kanojo, Okarishimasu;40839;TV;summer;2020;;4;1;"DrNock;"
Ai no Kusabi (2012);5784;OVA;winter;2012;;4;1;"leejongki;"
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.: Menma e no Tegami;38963;Special;winter;2012;;4;1;"leejongki;"
Finder Series;9761;OVA;winter;2012;;4;2;"leejongki;leejongki;"
Guilty Crown: Kiseki - Reassortment;12419;Special;winter;2012;;4;1;"leejongki;"
Kuroinu: Kedakaki Seijo wa Hakudaku ni Somaru;11827;OVA;winter;2012;;4;1;"leejongki;"
1/100 Rice Planting;36745;ONA;spring;2016;;4;1;"leejongki;"
Sayonara Zetsubou Sensei Special;10469;Special;winter;2012;;4;1;"leejongki;"
The North Face Japan CMs;38774;Special;winter;2016;;4;1;"leejongki;"
Tokyo Disney Resort: Yume ga Kanau Basho;13495;Special;winter;2012;;4;1;"leejongki;"
Shake-chan;38957;ONA;winter;2012;;4;1;"leejongki;"
Amakage;37545;ONA;spring;2012;;4;1;"leejongki;"
Kinyoubi no Yakusoku;36586;ONA;winter;2016;;4;1;"leejongki;"
JRA Hokan Keikaku;32739;ONA;spring;2012;;4;1;"leejongki;"
Teekyuu 6 Specials;32816;Special;winter;2016;;4;1;"leejongki;"
Gyo;10417;Movie;fall;2011;;4;4;"Djidji;DrNock;Steins02;sazabiron;"
Komachi to Dangorou;16389;ONA;fall;2012;;4;1;"leejongki;"
Birthday Wonderland;38985;Movie;spring;2019;;4;2;"DrNock;Yokanime;"
Fate/kaleid liner Prisma☆Illya: Prisma☆Phantasm;38897;Movie;spring;2019;;4;1;"DrNock;"
Thermae Romae Specials;12727;Special;spring;2012;;4;1;"leejongki;"
Tight-rope;12695;OVA;spring;2012;;4;1;"leejongki;"
Uhou Renka;13785;OVA;spring;2012;;4;1;"leejongki;"
"Kokoro ga Sakebitagatterunda. x Sony Hi-Res ""Walkman"" and Headphone";33170;Special;winter;2016;;4;1;"leejongki;"
Gintama: Yorinuki Gintama-san on Theater 2D;21899;Movie;summer;2012;;4;1;"leejongki;"
Kakushin;36753;ONA;winter;2016;;4;1;"leejongki;"
JK to Ero Konbini Tenchou;32864;OVA;winter;2016;;4;1;"leejongki;"
Historical;32665;ONA;winter;2016;;4;1;"leejongki;"
Dropout;31886;OVA;winter;2016;;4;1;"leejongki;"
Jirijiri Moyou no Ryuuryuu Tenten;37546;ONA;summer;2012;;4;1;"leejongki;"
Love 2 Quad;14539;OVA;summer;2012;;4;1;"leejongki;"
Miyako;37530;ONA;summer;2012;;4;1;"leejongki;"
Sukitte Ii na yo.: Dareka ga;16868;OVA;summer;2013;;4;1;"leejongki;"
Ame-iro Cocoa: Rainy Color e Youkoso!;31139;TV;fall;2015;;4;1;"leejongki;"
TSF Monogatari;11467;OVA;fall;2011;;4;1;"leejongki;"
Magic Knight Rayearth Pilot;38372;Special;fall;2014;;4;1;"leejongki;"
Schick x Evangelion;31115;Special;spring;2015;;4;1;"leejongki;"
Rasen Sokou no Dystopia;30543;OVA;spring;2015;;4;1;"leejongki;"
Shoumetsu Toshi;37952;TV;spring;2019;;4;1;"Djidji;"
Taisei Kensetsu: Vietnam Noi Bai Kuukou;25883;Special;summer;2014;;4;1;"leejongki;"
On a Forest, in the Air;39180;ONA;summer;2014;;4;1;"leejongki;"
Roll;38766;ONA;summer;2014;;4;1;"leejongki;"
Owaranai Seraph;30714;Special;spring;2015;;4;1;"leejongki;"
Amagi Brilliant Park: Wakuwaku Mini Theater - Rakugaki Backstage;30056;Special;fall;2014;;4;1;"leejongki;"
Buggy Map;38773;Special;fall;2014;;4;1;"leejongki;"
Kuroko no Basket 3rd Season NG-shuu;30311;Special;spring;2015;;4;1;"leejongki;"
Hatsune Miku x Tetsuya Nomura;28439;Special;fall;2014;;4;1;"leejongki;"
Kuro no Kyoushitsu;30242;OVA;spring;2015;;4;1;"leejongki;"
Kono Danshi, Sekka ni Nayandemasu.;25143;OVA;fall;2014;;4;1;"leejongki;"
Kuroko no Basket: Oshaberi Demo Shimasen ka;29583;Special;fall;2014;;4;1;"leejongki;"
Minion;37552;ONA;fall;2014;;4;1;"leejongki;"
Arifureta Shokugyou de Sekai Saikyou;36882;TV;summer;2019;;4;1;"Djidji;"
Green Dakara x Bakemono no Ko;31108;ONA;spring;2015;;4;1;"leejongki;"
Gakuen de Jikan yo Tomare;30243;OVA;spring;2015;;4;1;"leejongki;"
