title,MAL_id,type,release-season,release-year,yokanime score,friends_mean_score,nb_who_watched_it,friend_who_watched_it
Nagareboshi Lens,13833.0,OVA,winter,2012.0,,6.5,4.0,Exelen;Hakey;Exelen;Hakey;
Kyoukai no Kanata: Shinonome,23385.0,Special,summer,2014.0,7,6.5,12.0,ange_bleu;DrNock;Apey_;Kmeuh;Noctis_Solaith;Nodamin;ange_bleu;DrNock;Apey_;Kmeuh;Noctis_Solaith;Nodamin;
Cobra The Animation,5032.0,TV,winter,2010.0,,6.5,8.0,Kabu;Noctis_Solaith;PiscesAmo;Tinky;Kabu;Noctis_Solaith;PiscesAmo;Tinky;
Battle Spirits: Brave,9346.0,TV,fall,2010.0,,6.5,16.0,Hakey;Hakey;Hakey;Hakey;Aeryst;Aeryst;Aeryst;Aeryst;Hakey;Hakey;Hakey;Hakey;Aeryst;Aeryst;Aeryst;Aeryst;
Mitaiken Horizon,40245.0,Music,summer,2019.0,,6.5,4.0,Apey_;Nodamin;Apey_;Nodamin;
Sword Art Online,11757.0,TV,summer,2012.0,7,6.5,104.0,Aeden;Aeden;DrNock;DrNock;Apey_;Apey_;Exelen;Exelen;NooBenjy;NooBenjy;Mathxxl;Mathxxl;Luttii;Luttii;Noctis_Solaith;Noctis_Solaith;Keisuka_Watsushi;Keisuka_Watsushi;PiscesAmo;PiscesAmo;Ouaf;Ouaf;malcmojo;malcmojo;Suryan;Suryan;Araya;Araya;kohaque;kohaque;shanoliu;shanoliu;Hakey;Hakey;OoCaradryanoO;OoCaradryanoO;Coincoin_DuK;Coincoin_DuK;sylfer;sylfer;Nodamin;Nodamin;Aeryst;Aeryst;Tinky;Tinky;Fskng;Fskng;Ramou;Ramou;Aeden;Aeden;DrNock;DrNock;Apey_;Apey_;Exelen;Exelen;NooBenjy;NooBenjy;Mathxxl;Mathxxl;Luttii;Luttii;Noctis_Solaith;Noctis_Solaith;Keisuka_Watsushi;Keisuka_Watsushi;PiscesAmo;PiscesAmo;Ouaf;Ouaf;malcmojo;malcmojo;Suryan;Suryan;Araya;Araya;kohaque;kohaque;shanoliu;shanoliu;Hakey;Hakey;OoCaradryanoO;OoCaradryanoO;Coincoin_DuK;Coincoin_DuK;sylfer;sylfer;Nodamin;Nodamin;Aeryst;Aeryst;Tinky;Tinky;Fskng;Fskng;Ramou;Ramou;DL21;DL21;MKG39;MKG39;
Ginga Tetsudou Monogatari,1490.0,TV,fall,2003.0,,6.5,8.0,Noctis_Solaith;Noctis_Solaith;Aeryst;Aeryst;Noctis_Solaith;Noctis_Solaith;Aeryst;Aeryst;
RahXephon: Tagen Hensoukyoku,758.0,Movie,spring,2003.0,,6.5,4.0,Noctis_Solaith;Coincoin_DuK;Noctis_Solaith;Coincoin_DuK;
Basilisk: Kouga Ninpou Chou,67.0,TV,spring,2005.0,,6.5,16.0,Noctis_Solaith;Noctis_Solaith;shanoliu;shanoliu;crazy-gump;crazy-gump;Fskng;Fskng;Noctis_Solaith;Noctis_Solaith;shanoliu;shanoliu;crazy-gump;crazy-gump;Fskng;Fskng;
One Piece: Glorious Island,16468.0,Special,fall,2012.0,,6.5,4.0,ange_bleu;Keisuka_Watsushi;ange_bleu;Keisuka_Watsushi;
Hoshi no Kirby,2390.0,TV,fall,2001.0,,6.5,32.0,Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;
Grappler Baki (TV),287.0,TV,winter,2001.0,,6.5,8.0,Noctis_Solaith;Noctis_Solaith;OoCaradryanoO;OoCaradryanoO;Noctis_Solaith;Noctis_Solaith;OoCaradryanoO;OoCaradryanoO;
Mini Sengoku Basara Ni: Tsukiyo no Katakura-kun,9630.0,Special,fall,2010.0,,6.5,4.0,Aeden;Mereck;Aeden;Mereck;
Tottoko Hamtarou,508.0,TV,summer,2000.0,,6.5,92.0,Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;
Medarot Damashii,4052.0,TV,summer,2000.0,,6.5,12.0,Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;Noctis_Solaith;Noctis_Solaith;Noctis_Solaith;OoCaradryanoO;OoCaradryanoO;OoCaradryanoO;
Bakumatsu Kikansetsu Irohanihoheto,1576.0,ONA,fall,2006.0,,6.5,4.0,Noctis_Solaith;Keisuka_Watsushi;Noctis_Solaith;Keisuka_Watsushi;
High School DxD Specials,13357.0,Special,winter,2012.0,6,6.5,12.0,Aeden;DrNock;Apey_;malcmojo;shanoliu;OoCaradryanoO;Aeden;DrNock;Apey_;malcmojo;shanoliu;OoCaradryanoO;
.hack//G.U. Returner,2928.0,OVA,winter,2007.0,,6.5,4.0,Noctis_Solaith;Keisuka_Watsushi;Noctis_Solaith;Keisuka_Watsushi;
Toriko 3D: Kaimaku Gourmet Adventure!!,10074.0,Movie,winter,2011.0,,6.5,4.0,ange_bleu;Keisuka_Watsushi;ange_bleu;Keisuka_Watsushi;
Thermae Romae: Kodai Romajin ga Uchuu e,13983.0,ONA,spring,2012.0,,6.5,4.0,Aeden;Kabu;Aeden;Kabu;
Macross 7 Encore,1399.0,OVA,fall,1995.0,,6.5,12.0,Noctis_Solaith;Keisuka_Watsushi;Quakerultra;Tinky;Fskng;Mereck;Noctis_Solaith;Keisuka_Watsushi;Quakerultra;Tinky;Fskng;Mereck;
Nebula feat. Hatsune Miku,20857.0,Music,winter,2009.0,,6.5,4.0,ange_bleu;Kmeuh;ange_bleu;Kmeuh;
Follow Me,21041.0,Music,fall,2012.0,,6.5,4.0,Aeden;Noctis_Solaith;Aeden;Noctis_Solaith;
Inferno Cop: Fact Files,17843.0,ONA,fall,2012.0,,6.5,4.0,Aeden;Hakey;Aeden;Hakey;
Arslan Senki,1762.0,OVA,summer,1991.0,,6.5,4.0,Noctis_Solaith;Aeryst;Noctis_Solaith;Aeryst;
Detective Conan Magic File 2: Kudou Shinichi - The Case of the Mysterious Wall and the Black Lab,5348.0,OVA,spring,2008.0,,6.5,4.0,Noctis_Solaith;kohaque;Noctis_Solaith;kohaque;
Top Secret: The Revelation,3859.0,TV,spring,2008.0,,6.5,8.0,Noctis_Solaith;Noctis_Solaith;crazy-gump;crazy-gump;Noctis_Solaith;Noctis_Solaith;crazy-gump;crazy-gump;
Sengoku Basara: Setonai no Gekitotsu! Hi wo Fuku Umi no Daiyousai - Fugaku!!,6581.0,Special,winter,2010.0,,6.5,8.0,Aeden;Araya;Tinky;Mereck;Aeden;Araya;Tinky;Mereck;
To LOVE-Ru Darkness,13663.0,TV,fall,2012.0,6,6.5,12.0,Aeden;DrNock;Apey_;Trit;shanoliu;Tinky;Aeden;DrNock;Apey_;Trit;shanoliu;Tinky;
HORIZON feat. Hatsune Miku,19185.0,Music,spring,2013.0,,6.5,4.0,ange_bleu;Keisuka_Watsushi;ange_bleu;Keisuka_Watsushi;
Date A Live Movie: Mayuri Judgment,24655.0,Movie,summer,2015.0,,6.5,4.0,Luttii;Noctis_Solaith;Luttii;Noctis_Solaith;
Koukaku Kidoutai Arise: Another Mission,18989.0,Special,spring,2013.0,6,6.5,8.0,ange_bleu;Aeden;Noctis_Solaith;Keisuka_Watsushi;ange_bleu;Aeden;Noctis_Solaith;Keisuka_Watsushi;
Hokuto no Ken Zero: Kenshirou Den,5291.0,Movie,fall,2008.0,,6.5,4.0,Noctis_Solaith;Keisuka_Watsushi;Noctis_Solaith;Keisuka_Watsushi;
Koro-sensei Quest!,34389.0,ONA,fall,2016.0,,6.5,8.0,Mathxxl;Mathxxl;Noctis_Solaith;Noctis_Solaith;Mathxxl;Mathxxl;Noctis_Solaith;Noctis_Solaith;
