,title,MAL_id,type,studio,release-season,release-year,realase-date,source-material,episodes
126,Inakappe Taishou,8786,TV (Continuing),Tatsunoko Production,fall,1971.0,1970-10-04 00:00:00,-,104.0
127,Muumin (1972),8235,TV (New),Mushi Production,winter,1972.0,1972-01-09 19:30:00,Book,52.0
128,Kashi no Ki Mokku,2574,TV (New),Tatsunoko Production,winter,1972.0,1972-01-04 00:00:00,-,52.0
129,Seigi wo Aisuru Mono Gekkou Kamen,4332,TV (New),          -,winter,1972.0,1972-01-10 00:00:00,-,39.0
130,Lupin III,1412,TV (Continuing),Tokyo Movie Shinsha,winter,1972.0,1971-10-24 19:30:00,Manga,23.0
131,Sazae-san,2406,TV (Continuing),Eiken,winter,1972.0,1969-10-05 18:30:00,4-koma manga,0.0
132,Gegege no Kitarou (1971),6971,TV (Continuing),Toei Animation,winter,1972.0,1971-10-07 00:00:00,Manga,45.0
133,Genshi Shounen Ryuu,1537,TV (Continuing),Toei Animation,winter,1972.0,1971-10-30 19:00:00,Manga,22.0
134,Fushigi na Melmo,5476,TV (Continuing),Tezuka Productions,winter,1972.0,1971-10-03 18:30:00,Manga,26.0
135,Tensai Bakabon,6468,TV (Continuing),          -,winter,1972.0,1971-09-25 00:00:00,-,40.0
136,Apache Yakyuugun,3844,TV (Continuing),Toei Animation,winter,1972.0,1971-10-06 19:30:00,Manga,26.0
137,Kabatotto,3683,TV (Continuing),Tatsunoko Production,winter,1972.0,1971-01-01 00:00:00,-,300.0
138,Sekai Monoshiri Ryoko,10241,TV (Continuing),          -,winter,1972.0,1971-10-01 00:00:00,-,1006.0
139,Inakappe Taishou,8786,TV (Continuing),Tatsunoko Production,winter,1972.0,1970-10-04 00:00:00,-,104.0
140,Shin Obake no Q-tarou,7980,TV (Continuing),          -,winter,1972.0,1971-09-01 19:30:00,-,70.0
141,Kunimatsu-sama no Otoridai,17669,TV (Continuing),          -,winter,1972.0,1971-10-06 19:00:00,-,46.0
142,Shin Skyers 5,22997,TV (Continuing),          -,winter,1972.0,1971-10-14 00:00:00,-,25.0
143,Umi no Triton,2718,TV (New),Animation Staff Room,spring,1972.0,1972-04-01 00:00:00,Manga,27.0
144,Akadou Suzunosuke,11275,TV (New),          -,spring,1972.0,1972-04-05 19:00:00,-,52.0
145,Anime Document: München e no Michi,20237,TV (New),          -,spring,1972.0,1972-04-23 00:00:00,-,16.0
146,Sazae-san,2406,TV (Continuing),Eiken,spring,1972.0,1969-10-05 18:30:00,4-koma manga,0.0
147,Muumin (1972),8235,TV (Continuing),Mushi Production,spring,1972.0,1972-01-09 19:30:00,Book,52.0
148,Gegege no Kitarou (1971),6971,TV (Continuing),Toei Animation,spring,1972.0,1971-10-07 00:00:00,Manga,45.0
149,Kashi no Ki Mokku,2574,TV (Continuing),Tatsunoko Production,spring,1972.0,1972-01-04 00:00:00,-,52.0
150,Tensai Bakabon,6468,TV (Continuing),          -,spring,1972.0,1971-09-25 00:00:00,-,40.0
151,Seigi wo Aisuru Mono Gekkou Kamen,4332,TV (Continuing),          -,spring,1972.0,1972-01-10 00:00:00,-,39.0
152,Kabatotto,3683,TV (Continuing),Tatsunoko Production,spring,1972.0,1971-01-01 00:00:00,-,300.0
153,Sekai Monoshiri Ryoko,10241,TV (Continuing),          -,spring,1972.0,1971-10-01 00:00:00,-,1006.0
154,Inakappe Taishou,8786,TV (Continuing),Tatsunoko Production,spring,1972.0,1970-10-04 00:00:00,-,104.0
155,Shin Obake no Q-tarou,7980,TV (Continuing),          -,spring,1972.0,1971-09-01 19:30:00,-,70.0
156,Kunimatsu-sama no Otoridai,17669,TV (Continuing),          -,spring,1972.0,1971-10-06 19:00:00,-,46.0
157,Devilman,2252,TV (New),Toei Animation,summer,1972.0,1972-07-08 20:30:00,Manga,39.0
158,Mon Cheri CoCo,22893,TV (New),          -,summer,1972.0,1972-08-27 19:30:00,Manga,13.0
159,Sazae-san,2406,TV (Continuing),Eiken,summer,1972.0,1969-10-05 18:30:00,4-koma manga,0.0
160,Muumin (1972),8235,TV (Continuing),Mushi Production,summer,1972.0,1972-01-09 19:30:00,Book,52.0
161,Gegege no Kitarou (1971),6971,TV (Continuing),Toei Animation,summer,1972.0,1971-10-07 00:00:00,Manga,45.0
162,Umi no Triton,2718,TV (Continuing),Animation Staff Room,summer,1972.0,1972-04-01 00:00:00,Manga,27.0
163,Kashi no Ki Mokku,2574,TV (Continuing),Tatsunoko Production,summer,1972.0,1972-01-04 00:00:00,-,52.0
164,Seigi wo Aisuru Mono Gekkou Kamen,4332,TV (Continuing),          -,summer,1972.0,1972-01-10 00:00:00,-,39.0
165,Akadou Suzunosuke,11275,TV (Continuing),          -,summer,1972.0,1972-04-05 19:00:00,-,52.0
166,Kabatotto,3683,TV (Continuing),Tatsunoko Production,summer,1972.0,1971-01-01 00:00:00,-,300.0
167,Sekai Monoshiri Ryoko,10241,TV (Continuing),          -,summer,1972.0,1971-10-01 00:00:00,-,1006.0
168,Inakappe Taishou,8786,TV (Continuing),Tatsunoko Production,summer,1972.0,1970-10-04 00:00:00,-,104.0
169,Shin Obake no Q-tarou,7980,TV (Continuing),          -,summer,1972.0,1971-09-01 19:30:00,-,70.0
170,Kunimatsu-sama no Otoridai,17669,TV (Continuing),          -,summer,1972.0,1971-10-06 19:00:00,-,46.0
171,Anime Document: München e no Michi,20237,TV (Continuing),          -,summer,1972.0,1972-04-23 00:00:00,-,16.0
172,Maken Liner 0011 Henshin Seyo!,11269,Movie,Toei Animation,summer,1972.0,1972-07-16 00:00:00,-,1.0
173,Kagaku Ninja-tai Gatchaman,2389,TV (New),Tatsunoko Production,fall,1972.0,1972-10-01 18:00:00,Original,105.0
174,Dokonjou Gaeru,5618,TV (New),Tokyo Movie Shinsha,fall,1972.0,1972-10-07 19:00:00,Manga,103.0
175,Astroganger,5311,TV (New),Toei Animation,fall,1972.0,1972-10-04 00:00:00,-,26.0
176,Ryuuichi Manga Gekijou Onbu Obake,8685,TV (New),Eiken,fall,1972.0,1972-10-07 00:00:00,Original,52.0
177,Devilman,2252,TV (Continuing),Toei Animation,fall,1972.0,1972-07-08 20:30:00,Manga,39.0
178,Sazae-san,2406,TV (Continuing),Eiken,fall,1972.0,1969-10-05 18:30:00,4-koma manga,0.0
179,Muumin (1972),8235,TV (Continuing),Mushi Production,fall,1972.0,1972-01-09 19:30:00,Book,52.0
180,Kashi no Ki Mokku,2574,TV (Continuing),Tatsunoko Production,fall,1972.0,1972-01-04 00:00:00,-,52.0
181,Mon Cheri CoCo,22893,TV (Continuing),          -,fall,1972.0,1972-08-27 19:30:00,Manga,13.0
182,Akadou Suzunosuke,11275,TV (Continuing),          -,fall,1972.0,1972-04-05 19:00:00,-,52.0
183,Sekai Monoshiri Ryoko,10241,TV (Continuing),          -,fall,1972.0,1971-10-01 00:00:00,-,1006.0
184,Shin Obake no Q-tarou,7980,TV (Continuing),          -,fall,1972.0,1971-09-01 19:30:00,-,70.0
185,Mazinger Z,2253,TV (New),Toei Animation,winter,1973.0,1972-12-03 19:00:00,Manga,92.0
186,Babel Nisei,1666,TV (New),Toei Animation,winter,1973.0,1973-01-01 00:00:00,-,39.0
187,Devilman,2252,TV (Continuing),Toei Animation,winter,1973.0,1972-07-08 20:30:00,Manga,39.0
188,Kagaku Ninja-tai Gatchaman,2389,TV (Continuing),Tatsunoko Production,winter,1973.0,1972-10-01 18:00:00,Original,105.0
189,Sazae-san,2406,TV (Continuing),Eiken,winter,1973.0,1969-10-05 18:30:00,4-koma manga,0.0
190,Dokonjou Gaeru,5618,TV (Continuing),Tokyo Movie Shinsha,winter,1973.0,1972-10-07 19:00:00,Manga,103.0
191,Astroganger,5311,TV (Continuing),Toei Animation,winter,1973.0,1972-10-04 00:00:00,-,26.0
192,Akadou Suzunosuke,11275,TV (Continuing),          -,winter,1973.0,1972-04-05 19:00:00,-,52.0
193,Sekai Monoshiri Ryoko,10241,TV (Continuing),          -,winter,1973.0,1971-10-01 00:00:00,-,1006.0
194,Ryuuichi Manga Gekijou Onbu Obake,8685,TV (Continuing),Eiken,winter,1973.0,1972-10-07 00:00:00,Original,52.0
195,Nanmu Ichibyousokusai,4097,Movie,          -,winter,1973.0,1973-01-01 00:00:00,Original,1.0
196,Kouya no Shounen Isamu,4597,TV (New),          -,spring,1973.0,1973-04-04 19:00:00,-,52.0
197,Wansa-kun,6868,TV (New),Mushi Production,spring,1973.0,1973-04-02 00:00:00,Manga,26.0
198,Microid S,3846,TV (New),Toei Animation,spring,1973.0,1973-04-07 00:00:00,-,26.0
199,Jungle Kurobee,10889,TV (New),Tokyo Movie Shinsha,spring,1973.0,1973-03-02 19:00:00,Manga,31.0
200,Mazinger Z,2253,TV (Continuing),Toei Animation,spring,1973.0,1972-12-03 19:00:00,Manga,92.0
201,Kagaku Ninja-tai Gatchaman,2389,TV (Continuing),Tatsunoko Production,spring,1973.0,1972-10-01 18:00:00,Original,105.0
202,Sazae-san,2406,TV (Continuing),Eiken,spring,1973.0,1969-10-05 18:30:00,4-koma manga,0.0
203,Babel Nisei,1666,TV (Continuing),Toei Animation,spring,1973.0,1973-01-01 00:00:00,-,39.0
204,Dokonjou Gaeru,5618,TV (Continuing),Tokyo Movie Shinsha,spring,1973.0,1972-10-07 19:00:00,Manga,103.0
205,Sekai Monoshiri Ryoko,10241,TV (Continuing),          -,spring,1973.0,1971-10-01 00:00:00,-,1006.0
206,Ryuuichi Manga Gekijou Onbu Obake,8685,TV (Continuing),Eiken,spring,1973.0,1972-10-07 00:00:00,Original,52.0
207,Mazinger Z,2253,TV (Continuing),Toei Animation,summer,1973.0,1972-12-03 19:00:00,Manga,92.0
208,Kagaku Ninja-tai Gatchaman,2389,TV (Continuing),Tatsunoko Production,summer,1973.0,1972-10-01 18:00:00,Original,105.0
209,Sazae-san,2406,TV (Continuing),Eiken,summer,1973.0,1969-10-05 18:30:00,4-koma manga,0.0
210,Babel Nisei,1666,TV (Continuing),Toei Animation,summer,1973.0,1973-01-01 00:00:00,-,39.0
211,Dokonjou Gaeru,5618,TV (Continuing),Tokyo Movie Shinsha,summer,1973.0,1972-10-07 19:00:00,Manga,103.0
212,Kouya no Shounen Isamu,4597,TV (Continuing),          -,summer,1973.0,1973-04-04 19:00:00,-,52.0
213,Wansa-kun,6868,TV (Continuing),Mushi Production,summer,1973.0,1973-04-02 00:00:00,Manga,26.0
214,Sekai Monoshiri Ryoko,10241,TV (Continuing),          -,summer,1973.0,1971-10-01 00:00:00,-,1006.0
215,Microid S,3846,TV (Continuing),Toei Animation,summer,1973.0,1973-04-07 00:00:00,-,26.0
216,Jungle Kurobee,10889,TV (Continuing),Tokyo Movie Shinsha,summer,1973.0,1973-03-02 19:00:00,Manga,31.0
217,Ryuuichi Manga Gekijou Onbu Obake,8685,TV (Continuing),Eiken,summer,1973.0,1972-10-07 00:00:00,Original,52.0
218,Mazinger Z tai Devilman,3898,Movie,          -,summer,1973.0,1973-07-18 00:00:00,-,1.0
219,Cutey Honey,1661,TV (New),Toei Animation,fall,1973.0,1973-10-13 20:30:00,Manga,25.0
220,Ace wo Nerae!,311,TV (New),"Madhouse, Tokyo Movie Shinsha",fall,1973.0,1973-10-05 00:00:00,Manga,26.0
221,Shinzou Ningen Casshern,4810,TV (New),Tatsunoko Production,fall,1973.0,1973-10-02 00:00:00,Original,35.0
222,Dororon Enma-kun,1337,TV (New),Toei Animation,fall,1973.0,1973-10-04 00:00:00,Manga,25.0
223,Samurai Giants,9916,TV (New),"Madhouse, Tokyo Movie Shinsha",fall,1973.0,1973-10-07 00:00:00,Manga,46.0
224,Karate Baka Ichidai,7479,TV (New),TMS Entertainment,fall,1973.0,1973-10-03 00:00:00,Manga,47.0
225,Miracle Shoujo Limit-chan,3630,TV (New),Toei Animation,fall,1973.0,1973-10-01 19:00:00,Original,25.0
226,Zero Tester,9520,TV (New),Sunrise,fall,1973.0,1973-10-01 00:00:00,Original,38.0
227,Bouken Korobokkuru,8183,TV (New),"Eiken, Tatsunoko Production",fall,1973.0,1973-10-06 00:00:00,-,26.0
228,Mazinger Z,2253,TV (Continuing),Toei Animation,fall,1973.0,1972-12-03 19:00:00,Manga,92.0
229,Kagaku Ninja-tai Gatchaman,2389,TV (Continuing),Tatsunoko Production,fall,1973.0,1972-10-01 18:00:00,Original,105.0
230,Sazae-san,2406,TV (Continuing),Eiken,fall,1973.0,1969-10-05 18:30:00,4-koma manga,0.0
231,Dokonjou Gaeru,5618,TV (Continuing),Tokyo Movie Shinsha,fall,1973.0,1972-10-07 19:00:00,Manga,103.0
232,Kouya no Shounen Isamu,4597,TV (Continuing),          -,fall,1973.0,1973-04-04 19:00:00,-,52.0
233,Sekai Monoshiri Ryoko,10241,TV (Continuing),          -,fall,1973.0,1971-10-01 00:00:00,-,1006.0
234,Alps no Shoujo Heidi,2225,TV (New),Nippon Animation,winter,1974.0,1974-01-06 19:30:00,Book,52.0
