title,MAL_id,type,studio,release-season,release-year,realase-date,source-material,episodes
Umi no Triton,2718,TV (Continuing),Animation Staff Room,summer,1972.0,1972-04-01 00:00:00,Manga,27.0
Kashi no Ki Mokku,2574,TV (Continuing),Tatsunoko Production,summer,1972.0,1972-01-04 00:00:00,-,52.0
Seigi wo Aisuru Mono Gekkou Kamen,4332,TV (Continuing),          -,summer,1972.0,1972-01-10 00:00:00,-,39.0
Akadou Suzunosuke,11275,TV (Continuing),          -,summer,1972.0,1972-04-05 19:00:00,-,52.0
Kabatotto,3683,TV (Continuing),Tatsunoko Production,summer,1972.0,1971-01-01 00:00:00,-,300.0
Sekai Monoshiri Ryoko,10241,TV (Continuing),          -,summer,1972.0,1971-10-01 00:00:00,-,1006.0
Inakappe Taishou,8786,TV (Continuing),Tatsunoko Production,summer,1972.0,1970-10-04 00:00:00,-,104.0
Shin Obake no Q-tarou,7980,TV (Continuing),          -,summer,1972.0,1971-09-01 19:30:00,-,70.0
Kunimatsu-sama no Otoridai,17669,TV (Continuing),          -,summer,1972.0,1971-10-06 19:00:00,-,46.0
Anime Document: München e no Michi,20237,TV (Continuing),          -,summer,1972.0,1972-04-23 00:00:00,-,16.0
Maken Liner 0011 Henshin Seyo!,11269,Movie,Toei Animation,summer,1972.0,1972-07-16 00:00:00,-,1.0
Kagaku Ninja-tai Gatchaman,2389,TV (New),Tatsunoko Production,fall,1972.0,1972-10-01 18:00:00,Original,105.0
Dokonjou Gaeru,5618,TV (New),Tokyo Movie Shinsha,fall,1972.0,1972-10-07 19:00:00,Manga,103.0
Astroganger,5311,TV (New),Toei Animation,fall,1972.0,1972-10-04 00:00:00,-,26.0
Ryuuichi Manga Gekijou Onbu Obake,8685,TV (New),Eiken,fall,1972.0,1972-10-07 00:00:00,Original,52.0
Devilman,2252,TV (Continuing),Toei Animation,fall,1972.0,1972-07-08 20:30:00,Manga,39.0
Sazae-san,2406,TV (Continuing),Eiken,fall,1972.0,1969-10-05 18:30:00,4-koma manga,0.0
Muumin (1972),8235,TV (Continuing),Mushi Production,fall,1972.0,1972-01-09 19:30:00,Book,52.0
Kashi no Ki Mokku,2574,TV (Continuing),Tatsunoko Production,fall,1972.0,1972-01-04 00:00:00,-,52.0
Mon Cheri CoCo,22893,TV (Continuing),          -,fall,1972.0,1972-08-27 19:30:00,Manga,13.0
Akadou Suzunosuke,11275,TV (Continuing),          -,fall,1972.0,1972-04-05 19:00:00,-,52.0
Sekai Monoshiri Ryoko,10241,TV (Continuing),          -,fall,1972.0,1971-10-01 00:00:00,-,1006.0
Shin Obake no Q-tarou,7980,TV (Continuing),          -,fall,1972.0,1971-09-01 19:30:00,-,70.0
Mazinger Z,2253,TV (New),Toei Animation,winter,1973.0,1972-12-03 19:00:00,Manga,92.0
Babel Nisei,1666,TV (New),Toei Animation,winter,1973.0,1973-01-01 00:00:00,-,39.0
Devilman,2252,TV (Continuing),Toei Animation,winter,1973.0,1972-07-08 20:30:00,Manga,39.0
Kagaku Ninja-tai Gatchaman,2389,TV (Continuing),Tatsunoko Production,winter,1973.0,1972-10-01 18:00:00,Original,105.0
Sazae-san,2406,TV (Continuing),Eiken,winter,1973.0,1969-10-05 18:30:00,4-koma manga,0.0
Dokonjou Gaeru,5618,TV (Continuing),Tokyo Movie Shinsha,winter,1973.0,1972-10-07 19:00:00,Manga,103.0
Astroganger,5311,TV (Continuing),Toei Animation,winter,1973.0,1972-10-04 00:00:00,-,26.0
Akadou Suzunosuke,11275,TV (Continuing),          -,winter,1973.0,1972-04-05 19:00:00,-,52.0
Sekai Monoshiri Ryoko,10241,TV (Continuing),          -,winter,1973.0,1971-10-01 00:00:00,-,1006.0
Ryuuichi Manga Gekijou Onbu Obake,8685,TV (Continuing),Eiken,winter,1973.0,1972-10-07 00:00:00,Original,52.0
Nanmu Ichibyousokusai,4097,Movie,          -,winter,1973.0,1973-01-01 00:00:00,Original,1.0
Kouya no Shounen Isamu,4597,TV (New),          -,spring,1973.0,1973-04-04 19:00:00,-,52.0
Wansa-kun,6868,TV (New),Mushi Production,spring,1973.0,1973-04-02 00:00:00,Manga,26.0
Microid S,3846,TV (New),Toei Animation,spring,1973.0,1973-04-07 00:00:00,-,26.0
Jungle Kurobee,10889,TV (New),Tokyo Movie Shinsha,spring,1973.0,1973-03-02 19:00:00,Manga,31.0
Mazinger Z,2253,TV (Continuing),Toei Animation,spring,1973.0,1972-12-03 19:00:00,Manga,92.0
Kagaku Ninja-tai Gatchaman,2389,TV (Continuing),Tatsunoko Production,spring,1973.0,1972-10-01 18:00:00,Original,105.0
Sazae-san,2406,TV (Continuing),Eiken,spring,1973.0,1969-10-05 18:30:00,4-koma manga,0.0
Babel Nisei,1666,TV (Continuing),Toei Animation,spring,1973.0,1973-01-01 00:00:00,-,39.0
Dokonjou Gaeru,5618,TV (Continuing),Tokyo Movie Shinsha,spring,1973.0,1972-10-07 19:00:00,Manga,103.0
Sekai Monoshiri Ryoko,10241,TV (Continuing),          -,spring,1973.0,1971-10-01 00:00:00,-,1006.0
Ryuuichi Manga Gekijou Onbu Obake,8685,TV (Continuing),Eiken,spring,1973.0,1972-10-07 00:00:00,Original,52.0
Mazinger Z,2253,TV (Continuing),Toei Animation,summer,1973.0,1972-12-03 19:00:00,Manga,92.0
Kagaku Ninja-tai Gatchaman,2389,TV (Continuing),Tatsunoko Production,summer,1973.0,1972-10-01 18:00:00,Original,105.0
Sazae-san,2406,TV (Continuing),Eiken,summer,1973.0,1969-10-05 18:30:00,4-koma manga,0.0
Babel Nisei,1666,TV (Continuing),Toei Animation,summer,1973.0,1973-01-01 00:00:00,-,39.0
Dokonjou Gaeru,5618,TV (Continuing),Tokyo Movie Shinsha,summer,1973.0,1972-10-07 19:00:00,Manga,103.0
Kouya no Shounen Isamu,4597,TV (Continuing),          -,summer,1973.0,1973-04-04 19:00:00,-,52.0
Wansa-kun,6868,TV (Continuing),Mushi Production,summer,1973.0,1973-04-02 00:00:00,Manga,26.0
Sekai Monoshiri Ryoko,10241,TV (Continuing),          -,summer,1973.0,1971-10-01 00:00:00,-,1006.0
Microid S,3846,TV (Continuing),Toei Animation,summer,1973.0,1973-04-07 00:00:00,-,26.0
Jungle Kurobee,10889,TV (Continuing),Tokyo Movie Shinsha,summer,1973.0,1973-03-02 19:00:00,Manga,31.0
Ryuuichi Manga Gekijou Onbu Obake,8685,TV (Continuing),Eiken,summer,1973.0,1972-10-07 00:00:00,Original,52.0
Mazinger Z tai Devilman,3898,Movie,          -,summer,1973.0,1973-07-18 00:00:00,-,1.0
Cutey Honey,1661,TV (New),Toei Animation,fall,1973.0,1973-10-13 20:30:00,Manga,25.0
Ace wo Nerae!,311,TV (New),"Madhouse, Tokyo Movie Shinsha",fall,1973.0,1973-10-05 00:00:00,Manga,26.0
Shinzou Ningen Casshern,4810,TV (New),Tatsunoko Production,fall,1973.0,1973-10-02 00:00:00,Original,35.0
Dororon Enma-kun,1337,TV (New),Toei Animation,fall,1973.0,1973-10-04 00:00:00,Manga,25.0
Samurai Giants,9916,TV (New),"Madhouse, Tokyo Movie Shinsha",fall,1973.0,1973-10-07 00:00:00,Manga,46.0
Karate Baka Ichidai,7479,TV (New),TMS Entertainment,fall,1973.0,1973-10-03 00:00:00,Manga,47.0
Miracle Shoujo Limit-chan,3630,TV (New),Toei Animation,fall,1973.0,1973-10-01 19:00:00,Original,25.0
Zero Tester,9520,TV (New),Sunrise,fall,1973.0,1973-10-01 00:00:00,Original,38.0
Bouken Korobokkuru,8183,TV (New),"Eiken, Tatsunoko Production",fall,1973.0,1973-10-06 00:00:00,-,26.0
Mazinger Z,2253,TV (Continuing),Toei Animation,fall,1973.0,1972-12-03 19:00:00,Manga,92.0
Kagaku Ninja-tai Gatchaman,2389,TV (Continuing),Tatsunoko Production,fall,1973.0,1972-10-01 18:00:00,Original,105.0
Sazae-san,2406,TV (Continuing),Eiken,fall,1973.0,1969-10-05 18:30:00,4-koma manga,0.0
Dokonjou Gaeru,5618,TV (Continuing),Tokyo Movie Shinsha,fall,1973.0,1972-10-07 19:00:00,Manga,103.0
Kouya no Shounen Isamu,4597,TV (Continuing),          -,fall,1973.0,1973-04-04 19:00:00,-,52.0
Sekai Monoshiri Ryoko,10241,TV (Continuing),          -,fall,1973.0,1971-10-01 00:00:00,-,1006.0
Alps no Shoujo Heidi,2225,TV (New),Nippon Animation,winter,1974.0,1974-01-06 19:30:00,Book,52.0
Cutey Honey,1661,TV (Continuing),Toei Animation,winter,1974.0,1973-10-13 20:30:00,Manga,25.0
Mazinger Z,2253,TV (Continuing),Toei Animation,winter,1974.0,1972-12-03 19:00:00,Manga,92.0
Ace wo Nerae!,311,TV (Continuing),"Madhouse, Tokyo Movie Shinsha",winter,1974.0,1973-10-05 00:00:00,Manga,26.0
Kagaku Ninja-tai Gatchaman,2389,TV (Continuing),Tatsunoko Production,winter,1974.0,1972-10-01 18:00:00,Original,105.0
Sazae-san,2406,TV (Continuing),Eiken,winter,1974.0,1969-10-05 18:30:00,4-koma manga,0.0
Shinzou Ningen Casshern,4810,TV (Continuing),Tatsunoko Production,winter,1974.0,1973-10-02 00:00:00,Original,35.0
Dororon Enma-kun,1337,TV (Continuing),Toei Animation,winter,1974.0,1973-10-04 00:00:00,Manga,25.0
Dokonjou Gaeru,5618,TV (Continuing),Tokyo Movie Shinsha,winter,1974.0,1972-10-07 19:00:00,Manga,103.0
